ts,ticker,action,price,qty,dollars,confidence,regime,vix,portfolio_value,notes,order_id,status,run_date,iv_flag,iv_scale,notional
2026-07-13T15:27:56.287495,TDG,BUY,1348.49,2,,0.6808,2,,,,34f23d57-9f9c-4ffb-a2f5-f42444055ba5,filled,2026-07-13,NORMAL,1.0,2696.98
2026-07-13T16:13:21.561028,TDG,SELL,1234.415,2,,0.5,1,,,,b6cdd416-3623-475d-938c-56c7f557520c,filled,2026-07-13,NORMAL,1.0,2468.83
2026-07-14T15:57:57.210188,SPGI,BUY,437.84,6,,0.5,1,,,,8623df6b-6761-4a63-8ed4-b74e29e4a3bc,filled,2026-07-14,MODERATE,0.8,2627.04
2026-07-17T15:53:21.297604,AAPL,BUY,333.26,6,,0.6706,2,,,,20c5dd8f-1ade-46da-8a90-686c987100a5,filled,2026-07-17,NORMAL,1.0,1999.56
2026-07-17T15:54:04.095191,PRU,BUY,118.25,32,,0.6633,1,,,,6d614977-ca3a-4b57-925b-1974699b543f,filled,2026-07-17,NORMAL,1.0,3784.0
2026-07-17T15:54:22.162924,MCK,BUY,841.31,1,,0.6643,1,,,,7b9b5e0a-81f7-4ab4-899f-025a94690b0d,filled,2026-07-17,NORMAL,1.0,841.31
2026-07-17T15:54:57.966586,GIS,BUY,38.7,36,,0.6888,0,,,,b065e7db-e281-4e3b-ad56-c482db34edab,filled,2026-07-17,NORMAL,1.0,1393.2
2026-07-17T15:55:22.359388,MPC,BUY,305.85,4,,0.6884,2,,,,4813798b-529a-4831-aa7b-d97f092347f2,filled,2026-07-17,NORMAL,1.0,1223.4
2026-07-17T15:55:25.075634,VLO,BUY,300.26,7,,0.744,1,,,,9e32ec3b-bd5a-470b-be2d-755b7bcf529d,filled,2026-07-17,NORMAL,1.0,2101.82
2026-07-17T15:55:45.754863,UNP,BUY,299.42,9,,0.6787,1,,,,ded3d252-144e-4058-ae18-cfac57bf286b,filled,2026-07-17,NORMAL,1.0,2694.78
2026-07-20T15:48:43.591880,PRU,BUY,119.07,27,,0.6646,1,,,,eb9fcaeb-95ca-4fdb-bcf3-012f72e688aa,filled,2026-07-20,NORMAL,1.0,3214.89
2026-07-20T15:49:45.359930,XOM,BUY,147.36,14,,0.6762,2,,,,26375ab4-7f8f-4b02-abf6-657ae53bd278,filled,2026-07-20,NORMAL,1.0,2063.04
2026-07-20T15:49:47.639866,CVX,BUY,187.38,15,,0.6611,2,,,,d3ab68ba-611a-4781-bd88-2a8ed3c50317,filled,2026-07-20,NORMAL,1.0,2810.7
2026-07-20T15:49:52.808726,PSX,BUY,206.86,13,,0.6871,2,,,,f7d58da4-f58d-41e5-b332-ef637ae98ce2,filled,2026-07-20,NORMAL,1.0,2689.18
2026-07-20T15:49:54.885543,MPC,BUY,312.6,4,,0.6873,1,,,,6a4aa419-3912-478b-b1d6-430810d8755b,filled,2026-07-20,NORMAL,1.0,1250.4
2026-07-20T15:49:57.589544,VLO,BUY,309.65,11,,0.7048,1,,,,84f157bb-0d59-49c9-87c8-df4135b5ab9b,filled,2026-07-20,NORMAL,1.0,3406.15
2026-07-20T15:50:15.667136,EXPD,BUY,182.8,18,,0.6808,1,,,,e242d148-92ff-4a03-b550-74aafc006d40,filled,2026-07-20,NORMAL,1.0,3290.4
2026-07-21T15:56:19.744536,EOG,BUY,141.09,19,,0.6562,1,,,,419860be-4572-41f6-92cf-29bf05cfa18b,filled,2026-07-21,NORMAL,1.0,2680.71
2026-07-21T15:56:22.340485,OXY,BUY,55.19,69,,0.6765,1,,,,789abe07-4153-4efb-92c1-d15a595102e6,filled,2026-07-21,NORMAL,1.0,3808.11
2026-07-21T15:56:24.621503,MPC,BUY,315.31,5,,0.7288,2,,,,dbb693e6-4d11-47d6-9b7f-96edcb1ec0a9,filled,2026-07-21,NORMAL,1.0,1576.55
2026-07-21T15:56:26.838099,VLO,BUY,313.31,11,,0.5,1,,,,7adcb37b-e580-4102-990e-4daaa57ef48f,filled,2026-07-21,NORMAL,1.0,3446.41
2026-07-22T15:45:40.607695,COP,BUY,117.5,32,,0.6839,1,,,,1d3837eb-5646-4dcc-9a13-afd57e44c5bc,filled,2026-07-22,NORMAL,1.0,3760.0
2026-07-22T15:45:46.298298,MPC,BUY,319.76,5,,0.6866,1,,,,212f2e29-c0e7-47bc-9b6a-9e8ab737379c,filled,2026-07-22,NORMAL,1.0,1598.8
2026-07-22T15:45:48.714419,VLO,BUY,314.8,7,,0.7456,1,,,,f067b015-2d00-4d35-8008-85729839892f,filled,2026-07-22,NORMAL,1.0,2203.6
2026-07-22T15:45:55.453053,FANG,BUY,199.8,12,,0.6776,2,,,,b6b4229f-f30e-418a-afed-f0c5fd0f689c,filled,2026-07-22,NORMAL,1.0,2397.6
2026-07-23T15:49:33.196601,XOM,BUY,154.45,14,,0.6729,0,,,,14fd0ce4-b9c1-4ab2-a0ce-86ed0fe66e93,filled,2026-07-23,NORMAL,1.0,2162.3
2026-07-23T15:49:38.012186,EOG,BUY,144.0,23,,0.6724,1,,,,bc368d72-209d-4a0f-9097-baf90b77e2a9,filled,2026-07-23,NORMAL,1.0,3312.0
2026-07-23T15:49:41.142053,OXY,BUY,57.5,29,,0.6702,0,,,,3a767f9c-fe13-41a2-bf5c-fa0e03220a39,filled,2026-07-23,NORMAL,1.0,1667.5
2026-07-23T15:49:44.438898,MPC,BUY,315.82,2,,0.6949,2,,,,81eeb4f5-a13f-4cca-b790-435e1acb863d,filled,2026-07-23,NORMAL,1.0,631.64
2026-07-27T15:37:22.428705,TMO,BUY,572.32,3,,0.6864,1,,,,8e477563-fe9b-43b1-9aad-d00051c62ceb,filled,2026-07-27,NORMAL,1.0,1716.96
2026-07-27T15:38:28.698030,PSX,BUY,206.98,11,,0.6895,1,,,,e402cab1-47b4-40ad-86ad-36ccb33e7bf5,filled,2026-07-27,NORMAL,1.0,2276.78
2026-07-27T15:38:30.543832,MPC,BUY,312.27,7,,0.6969,1,,,,4bd58541-3611-4d6a-961f-8b2d2ff9e7db,filled,2026-07-27,NORMAL,1.0,2185.89
2026-07-28T15:45:35.601575,CTAS,BUY,210.98,14,,0.6903,1,,,,f1b12981-52e1-430a-b703-72930f4f2a82,filled,2026-07-28,NORMAL,1.0,2953.72
2026-07-29T15:46:17.009302,AFL,BUY,129.55,24,,0.6469,1,,,,c9485bf6-c999-4bdf-901c-1c6d18c70310,filled,2026-07-29,NORMAL,1.0,3109.2
2026-07-29T15:46:34.052925,COR,BUY,319.58,11,,0.5,1,,,,84c5ce5d-db70-4770-8a99-3e7342c391f2,filled,2026-07-29,NORMAL,1.0,3515.38
2026-07-29T15:47:01.263514,RCL,BUY,322.5,6,,0.5,2,,,,317dc2d7-7edc-4d49-bf4f-e77c7300f958,filled,2026-07-29,NORMAL,1.0,1935.0
2026-07-29T15:47:03.024094,EXPE,BUY,295.79,3,,0.5,1,,,,8b0ecb30-64ed-43a6-803f-989704627756,filled,2026-07-29,NORMAL,1.0,887.37
2026-07-31T15:42:31.372671,CME,BUY,267.22,8,,0.5,2,,,,fb0af865-1691-46ff-93ab-e09a717e61d2,filled,2026-07-31,MODERATE,0.8,2137.76
2026-07-31T15:42:58.176179,ZBH,BUY,94.96,32,,0.5,2,,,,c0007de0-94d9-466b-9aa1-ea18468923b8,filled,2026-07-31,NORMAL,1.0,3038.72
2026-07-31T15:43:49.080393,COP,BUY,119.03,27,,0.642,2,,,,5c282777-ea54-4fe1-9830-380a4efe7e42,filled,2026-07-31,NORMAL,1.0,3213.81
2026-07-31T15:43:54.220412,MPC,BUY,314.08,9,,0.6723,2,,,,a51f62dd-4b6d-43b9-a982-699da6184de6,filled,2026-07-31,NORMAL,1.0,2826.72
2026-08-03T15:45:00.030439,AMZN,BUY,271.58,10,,0.6624,1,,,,e92be535-7c03-4625-a7dc-8545f68afd57,filled,2026-08-03,MODERATE,0.8,2715.8
2026-08-03T15:45:58.009507,IQV,BUY,235.02,16,,0.7454,1,,,,3f32a09d-b082-4ceb-bb90-751336a04323,filled,2026-08-03,NORMAL,1.0,3760.32
2026-08-04T15:28:01.900079,MSFT,BUY,487.65,6,,0.6564,1,,,,1c13fbc2-a179-47c7-a3fe-bd8b305e2917,filled,2026-08-04,MODERATE,0.8,2925.9
