ts,ticker,action,price,qty,dollars,confidence,regime,vix,portfolio_value,notes,order_id,status,run_date,iv_flag,iv_scale,notional
2026-08-06T15:57:02.951699,ZBH,BUY,98.16,32,,0.6983,2,,,,4b220cfb-8724-4fbb-a2e3-aedbc49c755b,filled,2026-08-06,NORMAL,1.0,3141.12
2026-08-06T15:57:34.083110,EL,BUY,86.96,36,,0.7555,2,,,,4a18eea0-3248-4797-9353-f4811c60816c,filled,2026-08-06,NORMAL,1.0,3130.56
2026-08-06T15:58:15.178479,ETN,BUY,447.28,8,,0.7223,1,,,,f32045a5-fd4d-4926-82e6-6acf71020702,filled,2026-08-06,NORMAL,1.0,3578.24
2026-08-06T15:58:32.813835,NUE,BUY,274.74,8,,0.7069,0,,,,c0645d55-2406-45a9-88dd-964f8c746871,filled,2026-08-06,NORMAL,1.0,2197.92
