date,ticker,intraday_mom,overnight_gap,vwap_dev,intraday_range,close_to_high,attn_ret20,attn_rsi20,attn_vol20,xs_mom_5d,insider_net_buy,patent_velocity,target
2026-06-26,AAPL,,,,,,0.005899598054548197,0.21091810510156725,,-0.0807170510134511,-1.0,,-0.03034990364299605
2026-06-26,MSFT,,,,,,-0.0015555154357101743,0.053724862758364876,,-0.9134279030117295,-1.0,,-0.02631103948915049
2026-06-26,NVDA,,,,,,0.006125439934137124,0.19983969462543313,,-1.207172373171338,-1.0,,-0.04353769200612412
2026-06-26,GOOGL,,,,,,0.005050223916910943,0.2076302922880869,,-0.2092495730113185,0.0,,-0.030350089407378815
2026-06-26,AMZN,,,,,,-0.0006922330443358029,0.2173686975851844,,-0.7071101486232225,-1.0,,-0.03569457488146567
2026-06-26,META,,,,,,0.008380228732291968,0.007164367178502991,,-0.6271060425681254,-1.0,,-0.042272304324631325
2026-06-26,TSLA,,,,,,0.0035283715470903836,0.15296916769557606,,-1.1617805600311224,-1.0,,-0.053635424349697924
2026-06-26,AVGO,,,,,,0.015881436203847694,0.2092787751040272,,-1.4628236500307297,0.0,,0.04334649717792809
2026-06-26,ORCL,,,,,,0.005277589515362195,0.176620170894639,,-1.867207355664619,0.0,,-0.038652012864964745
2026-06-26,ADBE,,,,,,-0.004117262311282837,0.006505718799779477,,-2.0676932238894286,0.0,,-0.03581821126345154
2026-06-26,CRM,,,,,,-0.007666514122073621,-0.0153122925407848,,-1.4571638527435766,0.0,,-0.03924114111319303
2026-06-26,NOW,,,,,,0.00030158783612222823,0.12715761624458652,,-1.0781891266884702,-1.0,,-0.04320029442368826
2026-06-26,SNOW,,,,,,0.035453823862927704,0.15432716149212528,,5.255166727157511,-1.0,,-0.06334348317190315
2026-06-26,PLTR,,,,,,0.001974390009895198,-0.024134053681101716,,-1.0348385322672102,-1.0,,-0.07296385396939369
2026-06-26,NET,,,,,,0.021821169383232402,0.13584474818812195,,1.410926215064262,-1.0,,-0.048750905603828776
2026-06-26,DDOG,,,,,,0.020794962480580763,0.5095867016691223,,1.1274606235927436,-1.0,,-0.05371311171811388
2026-06-26,ZS,,,,,,0.002900231178633433,0.17067252940406372,,0.42645452624017205,-1.0,,-0.060201783085496584
2026-06-26,CRWD,,,,,,0.024778949605809193,0.5425259687407435,,-0.42019476643575476,-1.0,,0.05437371826546844
2026-06-26,PANW,,,,,,0.02105537705205441,0.5172756786699518,,-0.8741211579096044,-1.0,,0.04248761232200332
2026-06-26,SHOP,,,,,,-0.0022601165276595315,-0.07669667413150112,,1.1643313411125014,1.0,,-0.05632000552920813
2026-06-26,WDAY,,,,,,-0.0053311321629042445,0.0807499115550982,,-1.5287030194138207,-1.0,,-0.042191975728098616
2026-06-26,TEAM,,,,,,0.0029929258792169154,0.157777514487092,,-2.1548999690117903,-1.0,,-0.05790635829109584
2026-06-26,INTU,,,,,,-0.014968311845432507,-0.18762680440731125,,-1.3435806675484885,-0.3333333333333333,,-0.0360847284438331
2026-06-26,CDNS,,,,,,0.011342641004173929,0.3091214806274549,,-1.0436061933455603,-1.0,,-0.03494354571094004
2026-06-26,SNPS,,,,,,0.010466676772849159,0.10563065046223385,,-1.1057956659941008,-1.0,,-0.03744311636713864
2026-06-26,FTNT,,,,,,0.02556599540207756,0.5592682070542949,,0.7522394015409274,-1.0,,0.045646497299560364
2026-06-26,ANET,,,,,,0.008303425409099466,0.07857077997555993,,-1.391145609108379,-1.0,,-0.040747528173578185
2026-06-26,ACN,,,,,,-0.003149153047624513,-0.13252950663733182,,-0.857608274092084,0.0,,-0.02919853427770447
2026-06-26,IBM,,,,,,0.014743123814448474,0.16142092086208013,,-2.2273003813104433,0.0,,-0.02975312710803884
2026-06-26,CSCO,,,,,,0.003826496893491273,0.47721605622285107,,0.8263290521703653,-1.0,,-0.01879669113608773
2026-06-26,IT,,,,,,-0.0010679717112452342,0.04555133329848097,,-1.5212945422403759,0.0,,-0.038641161362876694
2026-06-26,TYL,,,,,,-0.002340613044607582,-0.1328278184658688,,-1.4057880271931082,0.0,,-0.03145799063871151
2026-06-26,ROP,,,,,,-0.0026099081321028935,-0.18115253801740372,,-0.6693589015260029,0.0,,0.020428206068322963
2026-06-26,PYPL,,,,,,0.00039561823742400903,-0.05753162393122753,,-0.8010959399322269,-1.0,,0.03079526167258928
2026-06-26,COIN,,,,,,-0.006853284595151595,-0.06737527896912261,,-1.158602205213447,-1.0,,-0.0951102357169465
2026-06-26,AFRM,,,,,,0.012985266985085283,0.12883755391324195,,-0.9951801359794911,0.0,,0.08652615335395097
2026-06-26,HOOD,,,,,,0.009763348258686745,0.08563187660533081,,1.5462374883871453,-0.14285714285714285,,-0.06693741913850064
2026-06-26,JPM,,,,,,0.0008449702949608105,0.037484040811209283,,0.7211415088633936,0.0,,0.029087305871673526
2026-06-26,V,,,,,,0.00041182833504698575,0.07942939066302382,,0.10030110188907511,0.0,,0.025023422792305967
2026-06-26,MA,,,,,,0.0004896655000159397,-0.03881462167575827,,-1.0417686553026633,0.0,,0.027991101941665576
2026-06-26,BAC,,,,,,0.0020222507459310038,0.07929703245133705,,0.7922443130507193,0.0,,0.03319432537550337
2026-06-26,GS,,,,,,0.00024802791078141557,0.26223577034204704,,-0.3698233456811371,0.0,,-0.030978809227517723
2026-06-26,MS,,,,,,0.0044736178947916375,0.3212702335950137,,0.1170691776876764,0.0,,-0.017425379226274407
2026-06-26,BLK,,,,,,0.0037041169960178155,0.047215174439032864,,0.7690355342986152,0.0,,-0.02963390143640963
2026-06-26,AXP,,,,,,0.0039914556654951795,0.011580600515381232,,0.7986554880716886,-1.0,,0.03503336663802531
2026-06-26,WFC,,,,,,0.002566555155429589,-0.02375538000060955,,-0.45101278887180063,0.0,,0.035364473193365976
2026-06-26,C,,,,,,0.0016720030537552236,0.22005030986753824,,1.1058702959192934,0.0,,0.03679869084902944
2026-06-26,SCHW,,,,,,-0.0011611960039627069,-0.06824103447652936,,0.8542653702414611,1.0,,-0.036702530060299624
2026-06-26,PGR,,,,,,0.00016518449070892824,-0.03247713927204574,,0.6156278455311965,-1.0,,0.02453848404034233
2026-06-26,CB,,,,,,-0.0032712188519968123,-0.07759861333784421,,-0.6632974803207468,-1.0,,0.02563606579128032
2026-06-26,COF,,,,,,-0.0011576049900713634,-0.02531280624196475,,-0.48586791359717446,-1.0,,0.04238159558254908
2026-06-26,USB,,,,,,0.003979265793591223,0.029303891981568016,,0.9170767082437902,0.0,,0.03207762597548518
2026-06-26,TFC,,,,,,0.0064675956078290376,0.09708370409510601,,1.1898153564151501,0.0,,0.03687200184281123
2026-06-26,PNC,,,,,,0.006693449668952016,0.12427461672234592,,0.36279696805630407,-1.0,,0.03143981267190466
2026-06-26,ICE,,,,,,-0.003070900122754679,-0.17996611745804186,,-0.41951365141815633,-1.0,,-0.023374007823862182
2026-06-26,CME,,,,,,-0.0034011469377332923,-0.15366825703307826,,0.553700207476877,0.0,,-0.024382169457595238
2026-06-26,SPGI,,,,,,-0.004459217916231865,-0.04943707356402925,,0.5019548130820779,0.0,,-0.027529594170682563
2026-06-26,MCO,,,,,,0.0009244874255798132,-0.032284501823843924,,1.0725146365245908,-1.0,,-0.029477504948166058
2026-06-26,AON,,,,,,-0.0008966371977810215,0.01292535391658381,,0.37990324791505165,0.0,,-0.02654208834704401
2026-06-26,TRV,,,,,,-0.00045835594585381885,-0.018885049674690662,,0.8771455496078002,-1.0,,0.025217166416053816
2026-06-26,ALL,,,,,,0.0015050359324183685,0.048161420465381015,,0.8874077111573003,-1.0,,0.027064812760763262
2026-06-26,MET,,,,,,0.0030235829232799273,0.2473971108212874,,0.7697689853017712,-1.0,,-0.032036647630134696
2026-06-26,PRU,,,,,,0.003532496367368447,0.09835848145543766,,0.4650712970629241,0.0,,-0.026566520965458085
2026-06-26,AIG,,,,,,-0.001302200626776502,-0.012469731010024528,,-1.0059378346873733,0.0,,0.02421266299292424
2026-06-26,HIG,,,,,,0.0003740627084927726,-0.028318725505562147,,-0.9912434751071976,-1.0,,-0.019070715030276797
2026-06-26,AFL,,,,,,-0.0008076523800988216,0.09419541116017331,,-0.6819746317205684,-1.0,,0.022794765155908836
2026-06-26,UNH,,,,,,0.009484980289414179,0.4364978238583894,,-0.7628253948592272,0.0,,0.03519874968402322
2026-06-26,LLY,,,,,,-0.006167673554327906,-0.0028763702541734315,,0.3537764557748347,-1.0,,-0.03275933760095708
