ticker,description,type,mic,adv,n_bars,last_price
RRGB,RED ROBIN GOURMET BURGERS,Common Stock,XNAS,1927614.0758514404,276,8.460000038146973
SIGA,SIGA TECHNOLOGIES INC,Common Stock,XNAS,1934005.0037622452,276,3.240000009536743
LYEL,LYELL IMMUNOPHARMA INC,Common Stock,XNAS,1956100.5432128906,276,14.524999618530273
THM,INTL TOWER HILL MINES LTD,Common Stock,XASE,1957075.0137805939,276,2.4000000953674316
QTRX,QUANTERIX CORP,Common Stock,XNAS,2029477.990913391,276,2.509999990463257
CBNK,CAPITAL BANCORP INC/MD,Common Stock,XNAS,2083615.071296692,276,35.95000076293945
GLSI,GREENWICH LIFESCIENCES INC,Common Stock,XNAS,2114449.9611854553,276,15.010000228881836
VFF,VILLAGE FARMS INTERNATIONAL,Common Stock,XNAS,2162403.472507,276,2.8399999141693115
SI,SHOULDER INNOVATIONS INC,Common Stock,XNYS,2165935.504627228,274,20.540000915527344
TWIN,TWIN DISC INC,Common Stock,XNAS,2205664.016723633,276,22.420000076293945
OPRT,OPORTUN FINANCIAL CORP,Common Stock,XNAS,2213281.5065145493,276,7.130000114440918
ISBA,ISABELLA BANK CORP,Common Stock,XNAS,2223421.399307251,276,38.54999923706055
EFSI,EAGLE FINANCIAL SERVICES INC,Common Stock,XNAS,2229742.4417495728,276,40.970001220703125
BNAI,BRAND ENGAGEMENT NETWORK INC,Common Stock,XNAS,2240101.4535427094,276,11.130000114440918
COSO,COASTAL SOUTH BANCSHARES INC,Common Stock,XNYS,2248686.9594573975,276,27.190000534057617
GLRE,GREENLIGHT CAPITAL RE LTD-A,Common Stock,XNAS,2268450.0341415405,276,15.260000228881836
BSRR,SIERRA BANCORP,Common Stock,XNAS,2298518.6138153076,276,39.41999816894531
KROS,KEROS THERAPEUTICS INC,Common Stock,XNAS,2313294.921398163,276,11.069999694824219
DTIL,PRECISION BIOSCIENCES INC,Common Stock,XNAS,2337414.4303798676,276,7.639999866485596
DFDV,DEFI DEVELOPMENT CORP,Common Stock,XNAS,2361841.027367115,276,5.159999847412109
ELA,ENVELA CORP,Common Stock,XASE,2391185.9746932983,276,13.819999694824219
CCAP,CRESCENT CAPITAL BDC INC,Common Stock,XNAS,2397627.6366233826,276,10.479999542236328
ZSQR,Z SQUARED INC,Common Stock,XNAS,2408354.082775116,276,2.9100000858306885
NPCE,NEUROPACE INC,Common Stock,XNAS,2492854.9342155457,276,14.739999771118164
MTRX,MATRIX SERVICE CO,Common Stock,XNAS,2507946.023082733,276,10.699999809265137
IMUX,IMMUNIC INC,Common Stock,XNAS,2523120.075559616,276,14.579999923706055
CWCO,CONSOLIDATED WATER CO-ORD SH,Common Stock,XNAS,2558876.466655731,276,28.920000076293945
FRD,FRIEDMAN INDUSTRIES,Common Stock,XNAS,2576385.4988098145,276,43.95000076293945
HVT,HAVERTY FURNITURE,Common Stock,XNYS,2618967.0497894287,276,27.190000534057617
DSP,VIANT TECHNOLOGY INC-A,Common Stock,XNAS,2646208.984375,276,12.630000114440918
ACCO,ACCO BRANDS CORP,Common Stock,XNYS,2765051.065325737,276,4.25
XPER,XPERI INC,Common Stock,XNYS,2773292.0375585556,276,5.800000190734863
SPRB,SPRUCE BIOSCIENCES INC,Common Stock,XNAS,2857701.034927368,276,55.599998474121094
HDSN,HUDSON TECHNOLOGIES INC,Common Stock,XNAS,2866028.018474579,276,5.139999866485596
MGPI,MGP INGREDIENTS INC,Common Stock,XNAS,2876009.3415260315,276,16.469999313354492
NCI,NEO-CONCEPT INTL GROUP HLD-A,Common Stock,XNAS,2880785.0044727325,276,12.989999771118164
GAIN,GLADSTONE INVESTMENT CORP,Common Stock,XNAS,2895719.167470932,276,16.3700008392334
NSLR,NEOSTELLAR CAPITAL CORP,Common Stock,XNAS,2911738.4372234344,276,9.899999618530273
NUS,NU SKIN ENTERPRISES INC - A,Common Stock,XNYS,2926025.8130550385,276,4.570000171661377
PXED,PHOENIX EDUCATION PARTNERS I,Common Stock,XNYS,2941498.6110687256,225,29.1200008392334
ELMD,ELECTROMED INC,Common Stock,XASE,3019809.9937438965,276,27.100000381469727
CTEV,CLARITEV CORP,Common Stock,XNYS,3054064.0563964844,276,39.349998474121094
WBTN,WEBTOON ENTERTAINMENT INC,Common Stock,XNAS,3066993.5497283936,276,10.319999694824219
RELL,RICHARDSON ELEC LTD,Common Stock,XNAS,3109903.0150413513,276,16.690000534057617
NRXP,NRX PHARMACEUTICALS INC,Common Stock,XNAS,3115643.977224827,276,3.440000057220459
NEWT,NEWTEKONE INC,Common Stock,XNAS,3154272.459411621,276,11.65999984741211
IBEX,IBEX LTD,Common Stock,XNAS,3185559.9266052246,276,38.25
AROW,ARROW FINANCIAL CORP,Common Stock,XNAS,3200556.0064315796,276,37.38999938964844
