cik,ticker,all_tickers,issuer_edgar,name_source,name_match,form,form25_date,exchange_now,first_bar,last_bar,bars_total,bars_after_form25,status
1889123,FLD,FLD|FLDDW,"Fold Holdings, Inc.","Fold Holdings, Inc.",True,25-NSE,2025-05-22,NasdaqCM,2022-02-09,2026-09-04,1147,324,still-listed
1857410,IVCBF,IVCBF,Investcorp Europe Acquisition Corp I,Invest Acquisition Corporation,True,25-NSE,2025-05-22,OTC Markets OTCPK,2022-02-08,2026-09-04,1148,324,otc-continuation
1859807,NVAC,NVAC|NVACR|NVACW,NorthView Acquisition Corp,,False,25-NSE,2025-05-22,http:404,,,0,0,no-data
1816723,GRFX,GRFX|GRFXY,Graphex Group Ltd,,False,25-NSE,2025-05-23,http:404,,,0,0,no-data
1355096,QVCGA,QVCGA|QVCGB|QVCGP,"QVC Group, Inc.",,False,25,2025-05-27,http:404,,,0,0,no-data
2032966,TIC,TIC|TICAW,ACUREN CORP,"TIC Solutions, Inc.",False,25,2025-05-27,NYSE,2025-02-18,2026-09-04,390,322,identity-mismatch
1432364,AZUL,AZUL,AZUL SA,Azul S.A.,True,25-NSE,2025-05-30,NYSE,2026-05-28,2026-09-04,70,70,still-listed
822416,PHM,PHM,PULTEGROUP INC/MI/,"PulteGroup, Inc.",True,25-NSE,2025-06-02,NYSE,2021-09-07,2026-09-04,1255,318,still-listed
1750153,GOEVQ,GOEVQ|GOEWQ,Canoo Inc.,Canoo Inc.,True,25-NSE,2025-06-03,OTC Markets OTCPK,2021-09-07,2026-09-04,1255,317,otc-continuation
1580063,BIORQ,BIORQ,"BIORA THERAPEUTICS, INC.","Biora Therapeutics, Inc.",True,25-NSE,2025-06-04,OTC Markets OTCPK,2025-08-11,2026-09-04,270,270,otc-continuation
1848437,CRTAF,CRTAF|CRTUF|CRTWF,Cartica Acquisition Corp,,False,25-NSE,2025-06-04,http:404,,,0,0,no-data
1875493,CSLMF,CSLMF|CSLRF|CSLUF|CSLWF,CSLM ACQUISITION CORP.,,False,25-NSE,2025-06-04,http:404,,,0,0,no-data
933738,ENGCQ,ENGCQ,ENGLOBAL CORP,,False,25-NSE,2025-06-04,http:404,,,0,0,no-data
1866226,WTMA,WTMA|WTMAR|WTMAU,Welsbach Technology Metals Acquisition Corp.,,False,25-NSE,2025-06-04,http:404,,,0,0,no-data
