event_id,ticker,event_ts,event_type,n_insiders,n_filings,total_value,first_filing
f4_LMNR_2026-01-09,LMNR,2026-01-09,form4_cluster_buy,2,3,319021.74,2026-01-06
f4_TPVG_2026-01-09,TPVG,2026-01-09,form4_cluster_buy,2,14,2875803.68,2026-01-05
f4_TPVG_2026-01-13,TPVG,2026-01-13,form4_cluster_buy,2,4,526863.36,2026-01-13
f4_ACRV_2026-01-16,ACRV,2026-01-16,form4_cluster_buy,3,3,114341.39,2026-01-15
f4_IMRX_2026-01-16,IMRX,2026-01-16,form4_cluster_buy,3,3,108311.64,2026-01-14
f4_NEWT_2026-01-16,NEWT,2026-01-16,form4_cluster_buy,5,9,148383.56,2026-01-15
f4_SRZN_2026-01-20,SRZN,2026-01-20,form4_cluster_buy,2,20,1997899.56,2026-01-15
f4_IMRX_2026-01-21,IMRX,2026-01-21,form4_cluster_buy,2,2,126031.02,2026-01-20
f4_ISBA_2026-01-23,ISBA,2026-01-23,form4_cluster_buy,7,8,105012.96,2026-01-21
f4_NWFL_2026-01-29,NWFL,2026-01-29,form4_cluster_buy,3,6,274789.96,2026-01-28
f4_THM_2026-01-30,THM,2026-01-30,form4_cluster_buy,2,4,72120702.66,2026-01-27
f4_CMTV_2026-02-05,CMTV,2026-02-05,form4_cluster_buy,4,5,235876.0,2026-02-02
f4_CING_2026-02-10,CING,2026-02-10,form4_cluster_buy,4,4,166692.96,2026-02-10
f4_LUCK_2026-02-13,LUCK,2026-02-13,form4_cluster_buy,2,2,137020.0,2026-02-10
f4_CNVS_2026-02-17,CNVS,2026-02-17,form4_cluster_buy,7,7,525000.0,2026-02-17
f4_TLSI_2026-02-23,TLSI,2026-02-23,form4_cluster_buy,5,6,1785488.5,2026-02-23
f4_TBI_2026-02-26,TBI,2026-02-26,form4_cluster_buy,3,3,149086.0,2026-02-24
f4_CTEV_2026-03-02,CTEV,2026-03-02,form4_cluster_buy,3,3,638625.2,2026-03-02
f4_LEE_2026-03-03,LEE,2026-03-03,form4_cluster_buy,2,14,1052252.4,2026-02-26
f4_LAW_2026-03-04,LAW,2026-03-04,form4_cluster_buy,4,6,3633218.56,2026-03-02
f4_SLRC_2026-03-05,SLRC,2026-03-05,form4_cluster_buy,2,4,3090971.54,2026-03-05
f4_NCDL_2026-03-06,NCDL,2026-03-06,form4_cluster_buy,5,6,454998.4,2026-03-05
f4_NMFC_2026-03-06,NMFC,2026-03-06,form4_cluster_buy,4,15,8476884.48,2026-03-02
f4_LYEL_2026-03-09,LYEL,2026-03-09,form4_cluster_buy,2,2,24999969.8,2026-03-09
f4_TKNO_2026-03-09,TKNO,2026-03-09,form4_cluster_buy,2,2,143417.2,2026-03-09
f4_LEE_2026-03-10,LEE,2026-03-10,form4_cluster_buy,2,15,1124327.0,2026-03-05
f4_SSP_2026-03-10,SSP,2026-03-10,form4_cluster_buy,11,27,5776815.29,2026-03-05
f4_TCPC_2026-03-10,TCPC,2026-03-10,form4_cluster_buy,3,4,337442.38,2026-03-10
f4_EML_2026-03-11,EML,2026-03-11,form4_cluster_buy,2,4,156861.87,2026-03-09
f4_SSP_2026-03-11,SSP,2026-03-11,form4_cluster_buy,11,18,2168686.62,2026-03-11
f4_COFS_2026-03-12,COFS,2026-03-12,form4_cluster_buy,2,2,166837.0,2026-03-09
f4_KRRO_2026-03-12,KRRO,2026-03-12,form4_cluster_buy,9,9,20707929.0,2026-03-12
f4_NCDL_2026-03-12,NCDL,2026-03-12,form4_cluster_buy,2,2,310469.47,2026-03-11
f4_ADV_2026-03-13,ADV,2026-03-13,form4_cluster_buy,3,5,263666.68,2026-03-09
f4_AVBC_2026-03-13,AVBC,2026-03-13,form4_cluster_buy,4,5,113983.04,2026-03-10
f4_BWFG_2026-03-13,BWFG,2026-03-13,form4_cluster_buy,5,30,1528368.77,2026-03-09
f4_ALTG_2026-03-16,ALTG,2026-03-16,form4_cluster_buy,2,7,519262.33,2026-03-13
f4_CTEV_2026-03-16,CTEV,2026-03-16,form4_cluster_buy,2,2,270497.0,2026-03-16
f4_GRNT_2026-03-16,GRNT,2026-03-16,form4_cluster_buy,5,7,219425.0,2026-03-11
f4_OSUR_2026-03-16,OSUR,2026-03-16,form4_cluster_buy,2,2,132062.94,2026-03-16
f4_SENS_2026-03-16,SENS,2026-03-16,form4_cluster_buy,2,2,200007.75,2026-03-16
f4_AEYE_2026-03-17,AEYE,2026-03-17,form4_cluster_buy,2,4,319142.35,2026-03-12
f4_FOA_2026-03-17,FOA,2026-03-17,form4_cluster_buy,2,2,174852.6,2026-03-16
f4_SCM_2026-03-17,SCM,2026-03-17,form4_cluster_buy,3,7,766430.85,2026-03-17
f4_SDHC_2026-03-17,SDHC,2026-03-17,form4_cluster_buy,4,4,525428.7,2026-03-17
f4_WHF_2026-03-17,WHF,2026-03-17,form4_cluster_buy,2,7,186767.95,2026-03-16
f4_GCBC_2026-03-18,GCBC,2026-03-18,form4_cluster_buy,2,3,198080.0,2026-03-18
f4_ARQ_2026-03-19,ARQ,2026-03-19,form4_cluster_buy,3,4,173745.15,2026-03-16
f4_EML_2026-03-20,EML,2026-03-20,form4_cluster_buy,7,7,190285.5,2026-03-17
f4_KLC_2026-03-23,KLC,2026-03-23,form4_cluster_buy,2,3,1054221.28,2026-03-18
f4_OSUR_2026-03-23,OSUR,2026-03-23,form4_cluster_buy,2,2,189197.25,2026-03-23
f4_INSE_2026-03-27,INSE,2026-03-27,form4_cluster_buy,3,8,545788.85,2026-03-27
f4_TGEN_2026-03-27,TGEN,2026-03-27,form4_cluster_buy,5,6,105398.5,2026-03-23
f4_XZO_2026-03-27,XZO,2026-03-27,form4_cluster_buy,2,7,240700.0,2026-03-23
f4_LENZ_2026-03-30,LENZ,2026-03-30,form4_cluster_buy,3,3,365575.74,2026-03-30
f4_AFCG_2026-04-01,AFCG,2026-04-01,form4_cluster_buy,2,4,162225.8,2026-03-30
f4_LODE_2026-04-02,LODE,2026-04-02,form4_cluster_buy,2,3,179396.0,2026-04-01
f4_NTHI_2026-04-13,NTHI,2026-04-13,form4_cluster_buy,2,4,131950.0,2026-04-09
f4_USAU_2026-04-14,USAU,2026-04-14,form4_cluster_buy,3,3,158265.95,2026-04-10
